Count,ph,k,p,n
1,6.4,1,0,0
2,6.4,1,0,0
3,6,0,0,0
4,6.8,0,0,0
5,6.8,0,0,0
6,6.8,1,0,0
7,6.4,0,0,1
8,6.8,1,0,0
9,7.2,0,0,0
10,6.4,0,0,0
11,6.4,0,1,0
12,6.4,0,1,0
13,6.4,0,0,0
14,6.4,0,0,0
15,6.8,0,0,0
16,6,0,0,0
17,6.8,1,0,0
18,6.8,0,0,0
19,6.8,0,1,0
20,6,0,0,0
21,6.4,1,0,0
22,6.4,0,0,0
23,7.2,1,0,0
24,6.8,0,1,1
25,6.8,0,0,0
26,7.2,0,0,0
27,6.8,1,0,0
28,6.8,1,0,1
29,6.8,1,0,1
30,6.8,0,0,1
